[	0.0000000000000000e+00	-9.0561265607018897e+04	]
[	2.5000000000000001e-02	-9.0561265607018897e+04	]
[	5.0000000000000003e-02	-9.0561265607018897e+04	]
[	7.4999999999999997e-02	-9.0561265607018897e+04	]
[	1.0000000000000001e-01	-9.0561265607018897e+04	]
[	1.2500000000000000e-01	-9.0561265607018897e+04	]
[	1.4999999999999999e-01	-9.0561265607018897e+04	]
[	1.7499999999999999e-01	-9.0561265607018897e+04	]
[	2.0000000000000001e-01	-9.0561265607018897e+04	]
[	2.2500000000000001e-01	-9.0561265607018897e+04	]
[	2.5000000000000000e-01	-9.0561265607018897e+04	]
[	2.7500000000000002e-01	-9.0561265607018897e+04	]
[	2.9999999999999999e-01	-9.0561265607018897e+04	]
[	3.2500000000000001e-01	-9.0561265607018897e+04	]
[	3.4999999999999998e-01	-9.0561265607018897e+04	]
[	3.7500000000000000e-01	-9.0561265607018897e+04	]
[	4.0000000000000002e-01	-9.0561265607018897e+04	]
[	4.2499999999999999e-01	-9.0561265607018897e+04	]
[	4.5000000000000001e-01	-9.0561265607018897e+04	]
[	4.7499999999999998e-01	-9.0561265607018897e+04	]
[	5.0000000000000000e-01	-9.0561265607018897e+04	]
