[	0.0000000000000000e+00	5.0000000000000000e+02	5.0000000000000000e+02	]
[	2.5000000000000001e-02	5.0000000000000000e+02	4.1983054876876133e+02	]
[	5.0000000000000003e-02	-5.0000000000000000e+02	5.0000000000000000e+02	]
[	7.4999999999999997e-02	1.3964701448267810e+01	-5.0000000000000000e+02	]
[	1.0000000000000001e-01	-5.0000000000000000e+02	-5.0000000000000000e+02	]
[	1.2500000000000000e-01	-5.0000000000000000e+02	-5.0000000000000000e+02	]
[	1.4999999999999999e-01	-5.0000000000000000e+02	-3.8781060112580224e+02	]
[	1.7499999999999999e-01	-5.0000000000000000e+02	5.0000000000000000e+02	]
[	2.0000000000000001e-01	-5.0000000000000000e+02	5.0000000000000000e+02	]
[	2.2500000000000001e-01	-4.5761278780540408e+02	5.0000000000000000e+02	]
[	2.5000000000000000e-01	-5.0000000000000000e+02	5.0000000000000000e+02	]
[	2.7500000000000002e-01	-5.0000000000000182e+02	1.6398937220235177e+02	]
[	2.9999999999999999e-01	5.0000000000000000e+02	-5.0000000000000000e+02	]
[	3.2500000000000001e-01	5.0000000000000000e+02	-5.0000000000000000e+02	]
[	3.4999999999999998e-01	5.0000000000000000e+02	-5.0000000000000000e+02	]
[	3.7500000000000000e-01	4.9999999999999818e+02	-5.0000000000000000e+02	]
[	4.0000000000000002e-01	5.0000000000000000e+02	-5.0000000000000000e+02	]
[	4.2499999999999999e-01	5.0000000000000000e+02	-2.3678691464990987e+02	]
[	4.5000000000000001e-01	2.2483585021771628e+02	5.0000000000000000e+02	]
[	4.7499999999999998e-01	-5.0000000000000000e+02	5.0000000000000000e+02	]
[	5.0000000000000000e-01	-5.0000000000000000e+02	5.0000000000000000e+02	]
